Running ./shock1d.py

Starting from step 0
Shock capturing parameters: alpha 0.1, s0 -11.0, kappa 0.5
Time step estimate 4.7576818033456516e-08

Viscous timestep estimate 8.662571755935413e-09

4482 elements
step.max=0 | t_sim.max=0 | t_step.max=21.6473 | min_pressure=0 | max_pressure=0 | min_temperature=0 | max_temperature=0 | memory_usage.max=513.812
step.max=1 | t_sim.max=5e-08 | t_step.max=1.07358 | min_pressure=100 | max_pressure=437.873 | min_temperature=297.995 | max_temperature=449.772 | memory_usage.max=550.625
step.max=2 | t_sim.max=1e-07 | t_step.max=1.07218 | min_pressure=100 | max_pressure=437.882 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=551
step.max=3 | t_sim.max=1.5e-07 | t_step.max=1.07123 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=551
step.max=4 | t_sim.max=2e-07 | t_step.max=1.071 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=551
step.max=5 | t_sim.max=2.5e-07 | t_step.max=1.07128 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=551
step.max=6 | t_sim.max=3e-07 | t_step.max=1.07175 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=551
step.max=7 | t_sim.max=3.5e-07 | t_step.max=1.07142 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=551
step.max=8 | t_sim.max=4e-07 | t_step.max=1.07141 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=551
step.max=9 | t_sim.max=4.5e-07 | t_step.max=1.07109 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=551
step.max=10 | t_sim.max=5e-07 | t_step.max=1.07082 | min_pressure=100 | max_pressure=437.88 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=551
step.max=11 | t_sim.max=5.5e-07 | t_step.max=1.07067 | min_pressure=100 | max_pressure=437.878 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=551
step.max=12 | t_sim.max=6e-07 | t_step.max=1.07045 | min_pressure=100 | max_pressure=437.879 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=555.062
step.max=13 | t_sim.max=6.5e-07 | t_step.max=1.07121 | min_pressure=100 | max_pressure=437.879 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=555.062
step.max=14 | t_sim.max=7e-07 | t_step.max=1.07075 | min_pressure=100 | max_pressure=437.88 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=555.062
step.max=15 | t_sim.max=7.5e-07 | t_step.max=1.07077 | min_pressure=100 | max_pressure=437.88 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=555.062
step.max=16 | t_sim.max=8e-07 | t_step.max=1.07006 | min_pressure=100 | max_pressure=437.881 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=555.062
step.max=17 | t_sim.max=8.5e-07 | t_step.max=1.06999 | min_pressure=100 | max_pressure=437.881 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=555.062
step.max=18 | t_sim.max=9e-07 | t_step.max=1.06956 | min_pressure=100 | max_pressure=437.882 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=555.062
step.max=19 | t_sim.max=9.5e-07 | t_step.max=1.06947 | min_pressure=100 | max_pressure=437.882 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=555.062
step.max=20 | t_sim.max=1e-06 | t_step.max=1.06996 | min_pressure=100 | max_pressure=437.883 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=559.188
step.max=21 | t_sim.max=1.05e-06 | t_step.max=1.07 | min_pressure=100 | max_pressure=437.883 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=559.188
step.max=22 | t_sim.max=1.1e-06 | t_step.max=1.07052 | min_pressure=100 | max_pressure=437.883 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=563.312
step.max=23 | t_sim.max=1.15e-06 | t_step.max=1.06961 | min_pressure=100 | max_pressure=437.883 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=563.312
step.max=24 | t_sim.max=1.2e-06 | t_step.max=1.06869 | min_pressure=100 | max_pressure=437.883 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=563.312
step.max=25 | t_sim.max=1.25e-06 | t_step.max=1.06863 | min_pressure=100 | max_pressure=437.883 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=567.438
step.max=26 | t_sim.max=1.3e-06 | t_step.max=1.06904 | min_pressure=100 | max_pressure=437.883 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=567.438
step.max=27 | t_sim.max=1.35e-06 | t_step.max=1.06913 | min_pressure=100 | max_pressure=437.882 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=567.438
step.max=28 | t_sim.max=1.4e-06 | t_step.max=1.06929 | min_pressure=100 | max_pressure=437.882 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=571.562
step.max=29 | t_sim.max=1.45e-06 | t_step.max=1.06933 | min_pressure=100 | max_pressure=437.883 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=571.562
step.max=30 | t_sim.max=1.5e-06 | t_step.max=1.06915 | min_pressure=100 | max_pressure=437.883 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=571.562
